,,DT_NOTIFIC,CS_SEXO,NU_IDADE_N,SG_UF_NOT,HOSPITAL,CLASSI_FIN,EVOLUCAO
,,count,count,count,count,count,count,count
SEM_NOT,UTI,,,,,,,
1,Não,14053,14053,14053,14053,13989,14053,13227
1,Sim,7987,7987,7987,7987,7940,7987,7604
2,Não,5740,5740,5740,5740,5714,5740,5421
2,Sim,3713,3713,3713,3713,3686,3713,3542
3,Não,1633,1633,1633,1633,1624,1633,1511
3,Sim,1412,1412,1412,1412,1392,1412,1351
4,Não,798,798,798,798,796,798,718
4,Sim,802,802,802,802,786,802,765
5,Não,785,785,785,785,783,785,720
5,Sim,731,731,731,731,727,731,700
6,Não,633,633,633,633,629,633,591
6,Sim,492,492,492,492,489,492,472
7,Não,508,508,508,508,507,508,486
7,Sim,501,501,501,501,498,501,483
8,Não,673,673,673,673,671,673,647
8,Sim,560,560,560,560,556,560,547
9,Não,627,627,627,627,625,627,605
9,Sim,441,441,441,441,440,441,425
10,Não,647,647,647,647,643,647,634
10,Sim,422,422,422,422,422,422,411
11,Não,968,968,968,968,965,968,936
11,Sim,535,535,535,535,531,535,515
12,Não,2935,2935,2935,2935,2913,2935,2848
12,Sim,1920,1920,1920,1920,1912,1920,1861
13,Não,6998,6998,6998,6998,6976,6998,6789
13,Sim,3901,3901,3901,3901,3889,3901,3778
14,Não,8236,8236,8236,8236,8204,8236,8054
14,Sim,4419,4419,4419,4419,4408,4419,4295
15,Não,8126,8126,8126,8126,8098,8126,7861
15,Sim,4406,4406,4406,4406,4384,4406,4236
16,Não,9788,9788,9788,9788,9759,9788,9490
16,Sim,5307,5307,5307,5307,5275,5307,5087
17,Não,11597,11597,11597,11597,11550,11597,11186
17,Sim,5924,5924,5924,5924,5897,5924,5664
18,Não,13914,13914,13914,13914,13858,13914,13395
18,Sim,6826,6826,6826,6826,6791,6826,6546
19,Não,15553,15553,15553,15553,15473,15553,14836
19,Sim,7776,7776,7776,7776,7729,7776,7462
20,Não,16816,16816,16816,16816,16741,16816,16102
20,Sim,8266,8266,8266,8266,8219,8266,7960
21,Não,17397,17397,17397,17397,17313,17397,16663
21,Sim,8758,8758,8758,8758,8709,8758,8480
22,Não,16595,16595,16595,16595,16529,16595,15831
22,Sim,8653,8653,8653,8653,8582,8653,8341
23,Não,16434,16434,16434,16434,16361,16434,15638
23,Sim,8843,8843,8843,8843,8812,8843,8581
24,Não,16757,16757,16757,16757,16679,16757,16028
24,Sim,9112,9112,9112,9112,9065,9112,8868
25,Não,18243,18243,18243,18243,18152,18243,17436
25,Sim,9743,9743,9743,9743,9697,9743,9454
26,Não,18281,18281,18281,18281,18170,18281,17395
26,Sim,9489,9489,9489,9489,9434,9489,9229
27,Não,18439,18439,18439,18439,18351,18439,17619
27,Sim,9938,9938,9938,9938,9890,9938,9636
28,Não,20083,20083,20083,20083,19990,20083,19130
28,Sim,10109,10109,10109,10109,10057,10109,9812
29,Não,19765,19765,19765,19765,19689,19765,18798
29,Sim,9845,9845,9845,9845,9793,9845,9539
30,Não,20121,20121,20121,20121,20030,20121,19226
30,Sim,10127,10127,10127,10127,10059,10127,9825
31,Não,18958,18958,18958,18958,18870,18958,18066
31,Sim,9582,9582,9582,9582,9521,9582,9263
32,Não,17321,17321,17321,17321,17248,17321,16530
32,Sim,9292,9292,9292,9292,9200,9292,8990
33,Não,17508,17508,17508,17508,17434,17508,16582
33,Sim,9164,9164,9164,9164,9103,9164,8855
34,Não,16274,16274,16274,16274,16214,16274,15415
34,Sim,9134,9134,9134,9134,9079,9134,8819
35,Não,15673,15673,15673,15673,15616,15673,14840
35,Sim,8627,8627,8627,8627,8592,8627,8294
36,Não,15509,15509,15509,15509,15454,15509,14691
36,Sim,8105,8105,8105,8105,8053,8105,7783
37,Não,14309,14309,14309,14309,14264,14309,13499
37,Sim,7445,7445,7445,7445,7405,7445,7179
38,Não,13844,13844,13844,13844,13786,13844,13104
38,Sim,7140,7140,7140,7140,7107,7140,6869
39,Não,12425,12425,12425,12425,12380,12425,11787
39,Sim,6835,6835,6835,6835,6804,6835,6554
40,Não,12634,12634,12634,12634,12599,12634,11922
40,Sim,6627,6627,6627,6627,6596,6627,6321
41,Não,11760,11760,11760,11760,11719,11760,11088
41,Sim,6599,6599,6599,6599,6569,6599,6275
42,Não,10466,10466,10466,10466,10427,10466,9761
42,Sim,5896,5896,5896,5896,5855,5896,5620
43,Não,10791,10791,10791,10791,10744,10791,10041
43,Sim,5765,5765,5765,5765,5728,5765,5459
44,Não,10274,10274,10274,10274,10232,10274,9601
44,Sim,5696,5696,5696,5696,5656,5696,5406
45,Não,9574,9574,9574,9574,9536,9574,8995
45,Sim,5728,5728,5728,5728,5695,5728,5394
46,Não,11364,11364,11364,11364,11321,11364,10690
46,Sim,6498,6498,6498,6498,6464,6498,6133
47,Não,13384,13384,13384,13384,13329,13384,12572
47,Sim,7147,7147,7147,7147,7105,7147,6758
48,Não,14838,14838,14838,14838,14788,14838,13940
48,Sim,8175,8175,8175,8175,8130,8175,7675
49,Não,16047,16047,16047,16047,16001,16047,15032
49,Sim,8407,8407,8407,8407,8345,8407,7956
50,Não,16308,16308,16308,16308,16249,16308,15279
50,Sim,8717,8717,8717,8717,8645,8717,8255
51,Não,16345,16345,16345,16345,16269,16345,15261
51,Sim,8614,8614,8614,8614,8547,8614,8156
52,Não,14165,14165,14165,14165,14110,14165,13237
52,Sim,7464,7464,7464,7464,7415,7464,7006
53,Não,14989,14989,14989,14989,14930,14989,14064
53,Sim,8439,8439,8439,8439,8368,8439,8017
